species,_folder,_long,_short,_host,_ptgaul_genomesize,_compare_n,_compare_p,_compare_r,_polish_n,_polish_p,_random_seed,_ssh,_memory,_downsample,_inum,_table1,_table2,dummy,_status
Anthoceros_agrestis-0,Anthoceros_agrestis,SRR10190639,SRR10250248,vincent,160000,20,10,10,5,5,157,vincent,16,10,0,T,F,dummy,done
Anthoceros_agrestis-1,Anthoceros_agrestis,SRR10190639,SRR10250248,vincent,160000,20,10,10,5,5,157,vincent,16,0,1,F,F,dummy,done
Arabidopsis_thaliana-0,Arabidopsis_thaliana,ERR2173373,ERR2173372,kishino,160000,20,10,10,5,5,131,kishino,32,10,0,T,F,dummy,done
Arabidopsis_thaliana-1,Arabidopsis_thaliana,ERR2173373,ERR2173372,kishino,160000,20,10,10,5,5,131,kishino,16,300,1,F,F,dummy,done
Arabidopsis_thaliana-2,Arabidopsis_thaliana,ERR2173373,ERR2173372,kishino,160000,20,10,10,5,5,131,kishino,16,10,2,F,F,dummy,done
Canavalia_ensiformis-0,Canavalia_ensiformis,SRR18714551,SRR18714547,marybeth,160000,20,10,10,5,5,127,marybeth,16,10,0,T,F,dummy,done
Canavalia_ensiformis-1,Canavalia_ensiformis,SRR18714551,SRR18714547,marybeth,160000,20,10,10,5,5,127,marybeth,16,300,1,F,F,dummy,done
Cinchona_pubescens-0,Cinchona_pubescens,SRR20784020,SRR20784021,vincent,160000,20,10,10,5,5,151,vincent,32,10,0,T,F,dummy,done
Cinchona_pubescens-1,Cinchona_pubescens,SRR20784020,SRR20784021,vincent,160000,20,1,10,5,5,151,vincent,16,300,1,F,F,dummy,done
Codonopsis_lanceolata-0,Codonopsis_lanceolata,SRR11585869,SRR11585868,marybeth,160000,20,10,10,5,5,117,marybeth,32,10,0,T,F,dummy,figure
Codonopsis_lanceolata-1,Codonopsis_lanceolata,SRR11585869,SRR11585868,marybeth,160000,20,10,10,5,5,117,marybeth,16,30,1,F,F,dummy,done-down
Cucumis_sativus_var_hardwickii-0,Cucumis_sativus_var_hardwickii,SRR28091980,SRR28091977,user1-X99-PR8-H,160000,20,10,10,5,5,135,lab01,32,10,0,T,F,dummy,done
Cucumis_sativus_var_hardwickii-1,Cucumis_sativus_var_hardwickii,SRR28091980,SRR28091977,user1-X99-PR8-H,160000,20,10,10,5,5,135,lab01,16,30,1,F,F,dummy,NA
Dioscorea_japonica-0,Dioscorea_japonica,SRR16108312,SRR16108386,siepel,160000,20,10,10,5,5,121,siepel,64,10,0,T,F,dummy,done
Dioscorea_japonica-1,Dioscorea_japonica,SRR16108312,SRR16108386,siepel,160000,20,1,10,5,5,121,siepel,16,0,1,F,F,dummy,done
Dunaliella_tertiolecta-0,Dunaliella_tertiolecta,SRR22857204,SRR22857205,marybeth,160000,20,10,10,5,5,139,marybeth,16,10,0,T,F,dummy,done
Dunaliella_tertiolecta-1,Dunaliella_tertiolecta,SRR22857204,SRR22857205,marybeth,160000,20,10,10,5,5,139,marybeth,16,30,1,F,F,dummy,not-yet-unknown-pt
