index	sampling_datasize	long_total	long_rate_sample	long_sample_seed	short_total	short_rate_sample	short_sample_seed	expected_genome_size	peak_ram_size_gb	alpha	gfa_number_segments	gfa_number_links	gfa_total_segment_length	num_circular_paths	num_circular_nodes	time	coverage_ref	coverage_target	pident	length	gc	j_candidate	draft_assembly_size
0	10000000	1088382112	.0091879496	7027	-1	.0091879496	863	2611	8	1.0	-1	-1	-1	-1	-1	1m	-1	-1	0	-1	-1	-1	0
1	20982023	1088382112	.0192781770	4690	-1	.0192781770	677	29654	8	.25	-1	-1	-1	-1	-1	1m	-1	-1	0	-1	-1	-1	0
2	31964046	1088382112	.0293684043	2041	-1	.0293684043	7733	84874	8	.25	3	4	135824	4	4.0	1m	-1	-1	0	-1	35.80	-1	281358
3	42946069	1088382112	.0394586317	3346	-1	.0394586317	1765	130855	8	.25	-1	-1	-1	-1	-1	1m	-1	-1	0	-1	-1	-1	0
4	53928092	1088382112	.0495488591	505	-1	.0495488591	3762	159002	8	.25	-1	-1	-1	-1	-1	1m	-1	-1	0	-1	-1	-1	0
5	64910115	1088382112	.0596390865	5942	-1	.0596390865	9254	186047	9	.25	-1	-1	-1	-1	-1	1m	-1	-1	0	-1	-1	-1	0
6	75892138	1088382112	.0697293139	3059	-1	.0697293139	3298	194175	9	.25	3	4	135862	4	4.0	1m	-1	-1	0	-1	35.79	-1	345872
7	86874161	1088382112	.0798195413	2991	-1	.0798195413	667	172179	9	.25	-1	-1	-1	-1	-1	1m	-1	-1	0	-1	-1	-1	0
8	97856184	1088382112	.0899097687	5712	-1	.0899097687	5032	170555	9	.25	3	4	136054	4	4.0	2m	-1	-1	0	-1	35.81	-1	222608
9	108838211	1088382112	.0999999998	7880	-1	.0999999998	3094	463583	9	.25	10	14	235360	4	4.0	2m	-1	-1	0	-1	35.78	-1	933929
