I	Rate	Alpha	Pmem	D	Time	N	L	C	C_ref	C_target	Length
0	0.0092	1.00	8	0	1m	-1	-1	-1	-1.0000	-1.0000	-1
1	0.0193	0.25	8	0	1m	-1	-1	-1	-1.0000	-1.0000	-1
2	0.0294	0.25	8	281358	1m	3	135824	4	-1.0000	-1.0000	167443
3	0.0395	0.25	8	0	1m	-1	-1	-1	-1.0000	-1.0000	-1
4	0.0495	0.25	8	0	1m	-1	-1	-1	-1.0000	-1.0000	-1
5	0.0596	0.25	9	0	1m	-1	-1	-1	-1.0000	-1.0000	-1
6	0.0697	0.25	9	345872	1m	3	135862	4	-1.0000	-1.0000	167476
7	0.0798	0.25	9	0	1m	-1	-1	-1	-1.0000	-1.0000	-1
8	0.0899	0.25	9	222608	2m	3	136054	4	-1.0000	-1.0000	167683
9	0.1000	0.25	9	933929	2m	10	235360	4	-1.0000	-1.0000	167061
