species,coverage,dummy,genomesize,host,inref,long,min_read,plastid,random_seed,range,range1,range2,short,status
Cyamopsis_tetragonoloba-0,50,dummy,0,marybeth,family,SRR11680810,3000,false,103,3000:22000:20,9000:12000:2,3000:6000:2,SRR11680809,done
Pachyrhizus_erosus-0,50,dummy,0,viola,family,SRR18714553,3000,false,103,9000:36000:10,9000:36000:10,3000:36000:12,SRR18714549,done
Test_species-0,50,dummy,150000,vincent,genus,l,3000,false,105,3000:6000:2,9000:12000:2,3000:6000:2,s,done
Solanum_tuberosum-0,50,dummy,0,gingko,family,SRR21838069,3000,false,103,3000:22000:20,9000:12000:2,3000:6000:2,SRR21838065,done
Lolium_perenne-0,50,dummy,0,siepel,family,SRR13386519,3000,false,101,3000:45000:15,1000:45000:45,3000:45000:15,SRR13386518,done
Lolium_perenne-1,50,dummy,0,siepel,family,SRR13386519,3000,false,101,3000:45000:15,3000:45000:15,3000:45000:15,SRR13386518,done
Spirodela_polyrhiza-0,50,dummy,0,siepel,family,SRR11472010,3000,false,103,3000:6000:2,9000:12000:2,3000:6000:2,SRR11472009,done
Macadamia_tetraphylla-0,50,dummy,0,vincent,genus,SRR10424548,3000,false,105,3000:6000:2,9000:12000:2,3000:6000:2,SRR10424549,done
Punica_granatum-0,50,dummy,0,thorne,family,SRR24893686,3000,false,103,24000:52000:15,9000:12000:2,24000:52000:15,SRR24893685,done
Lolium_multiflorum-0,50,dummy,0,viola,family,SRR30555958,3000,false,103,3000:45000:15,3000:45000:15,3000:45000:15,SRR30555959,done
