species,taxon,long,short,host,random,down,memory,p,n,r,alpha,delta,ptgaul,pmat,tippo,oatk,ref,dummy,status
Test_species-0,Anthoceros_agrestis,l,s,siepel,157,100,16,100,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Test_species-1,Anthoceros_agrestis,l,s,siepel,101,100,16,100,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Test_species-2,Anthoceros_agrestis,l,s,siepel,301,100,16,100,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Test_species-4,Anthoceros_agrestis,l,s,siepel,401,100,16,100,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,cleanup
Test_species-7,Anthoceros_agrestis,l,s,siepel,157,100,16,100,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Taxon_genus-0,Eucalyptus_pauciflora,l,s,siepel,157,100,16,100,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Taxon_genus-1,Eucalyptus_pauciflora,l,s,siepel,101,100,16,100,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Taxon_genus-2,Eucalyptus_pauciflora,l,s,siepel,301,100,16,100,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Taxon_genus-4,Eucalyptus_pauciflora,l,s,siepel,401,100,16,100,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,cleanup
Taxon_genus-7,Eucalyptus_pauciflora,l,s,siepel,157,100,16,100,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Anthoceros_agrestis-0,Anthoceros_agrestis,SRR10190639,SRR10250248,siepel,157,10,16,10,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Anthoceros_agrestis-1,Anthoceros_agrestis,SRR10190639,SRR10250248,siepel,101,10,16,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Anthoceros_agrestis-2,Anthoceros_agrestis,SRR10190639,SRR10250248,siepel,301,10,16,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Anthoceros_agrestis-4,Anthoceros_agrestis,SRR10190639,SRR10250248,siepel,401,10,16,1,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,cleanup
Arabidopsis_thaliana-0,Arabidopsis_thaliana,ERR2173373,ERR2173372,kishino,131,10,32,10,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Arabidopsis_thaliana-1,Arabidopsis_thaliana,ERR2173373,ERR2173372,kishino,103,10,32,5,10,10,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Arabidopsis_thaliana-2,Arabidopsis_thaliana,ERR2173373,ERR2173372,kishino,303,10,32,5,10,10,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Arabidopsis_thaliana-4,Arabidopsis_thaliana,ERR2173373,ERR2173372,kishino,403,10,32,1,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,cleanup
Canavalia_ensiformis-0,Canavalia_ensiformis,SRR18714551,SRR18714547,marybeth,127,10,16,10,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Canavalia_ensiformis-1,Canavalia_ensiformis,SRR18714551,SRR18714547,marybeth,105,10,16,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Canavalia_ensiformis-2,Canavalia_ensiformis,SRR18714551,SRR18714547,marybeth,305,10,16,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Canavalia_ensiformis-4,Canavalia_ensiformis,SRR18714551,SRR18714547,marybeth,405,10,16,1,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,cleanup
Cinchona_pubescens-0,Cinchona_pubescens,SRR20784020,SRR20784021,vincent,151,10,32,10,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Cinchona_pubescens-1,Cinchona_pubescens,SRR20784020,SRR20784021,vincent,107,10,64,5,20,5,2.0,0.25,160000,0.1,onthq,30,NA,dummy,done
Cinchona_pubescens-2,Cinchona_pubescens,SRR20784020,SRR20784021,vincent,307,10,32,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Cinchona_pubescens-3,Cinchona_pubescens,SRR20784020,SRR20784021,vincent,309,10,32,10,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Cinchona_pubescens-4,Cinchona_pubescens,SRR20784020,SRR20784021,vincent,407,10,32,1,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,cleanup
Codonopsis_lanceolata-0,Codonopsis_lanceolata,SRR11585869,SRR11585868,marybeth,117,10,48,10,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Codonopsis_lanceolata-1,Codonopsis_lanceolata,SRR11585869,SRR11585868,marybeth,109,10,32,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Codonopsis_lanceolata-2,Codonopsis_lanceolata,SRR11585869,SRR11585868,marybeth,309,10,32,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Codonopsis_lanceolata-4,Codonopsis_lanceolata,SRR11585869,SRR11585868,marybeth,409,10,32,1,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,cleanup
Cucumis_sativus_var_hardwickii-0,Cucumis_sativus_var_hardwickii,SRR28091980,SRR28091977,lab01,135,10,32,10,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Cucumis_sativus_var_hardwickii-1,Cucumis_sativus_var_hardwickii,SRR28091980,SRR28091977,lab01,111,10,32,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Cucumis_sativus_var_hardwickii-2,Cucumis_sativus_var_hardwickii,SRR28091980,SRR28091977,lab01,311,10,32,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Cucumis_sativus_var_hardwickii-4,Cucumis_sativus_var_hardwickii,SRR28091980,SRR28091977,lab01,411,10,32,1,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,cleanup
Dioscorea_japonica-0,Dioscorea_japonica,SRR16108312,SRR16108386,siepel,121,10,64,10,10,5,1.0,0.75,160000,0.1,onthq,0,NA,dummy,done
Dioscorea_japonica-1,Dioscorea_japonica,SRR16108312,SRR16108386,siepel,113,10,64,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Dioscorea_japonica-2,Dioscorea_japonica,SRR16108312,SRR16108386,siepel,313,10,64,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Dioscorea_japonica-4,Dioscorea_japonica,SRR16108312,SRR16108386,siepel,413,10,64,1,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,cleanup
Dunaliella_tertiolecta-0,Dunaliella_tertiolecta,SRR22857204,SRR22857205,marybeth,139,10,32,10,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Dunaliella_tertiolecta-1,Dunaliella_tertiolecta,SRR22857204,SRR22857205,marybeth,115,10,32,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Dunaliella_tertiolecta-2,Dunaliella_tertiolecta,SRR22857204,SRR22857205,marybeth,315,10,32,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Dunaliella_tertiolecta-4,Dunaliella_tertiolecta,SRR22857204,SRR22857205,marybeth,415,10,32,1,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,cleanup
Eucalyptus_pauciflora-0,Eucalyptus_pauciflora,SRR7153095,SRR7161123,siepel,143,10,16,10,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Eucalyptus_pauciflora-1,Eucalyptus_pauciflora,SRR7153095,SRR7161123,siepel,117,10,16,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Eucalyptus_pauciflora-2,Eucalyptus_pauciflora,SRR7153095,SRR7161123,siepel,317,10,16,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Eucalyptus_pauciflora-3,Eucalyptus_pauciflora,SRR7153095,SRR7161123,siepel,155,10,16,10,50,10,1.0,0.75,160000,0.1,onthq,30,NA,dummy,cleanup
Eucalyptus_pauciflora-4,Eucalyptus_pauciflora,SRR7153095,SRR7161123,siepel,417,10,16,1,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Eucalyptus_pauciflora-test,Eucalyptus_pauciflora,SRR7153095,SRR7161123,siepel,155,1,16,10,5,3,1.0,0.75,160000,0.1,onthq,30,NA,dummy,test
Eucalyptus_pauciflora-all,Eucalyptus_pauciflora,SRR7153095,SRR7161123,siepel,155,0,16,1,5,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,test
Eucalyptus_pauciflora-t,Eucalyptus_pauciflora,l,s,siepel,155,10,16,100,5,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,test
Euonymus_alatus-0,Euonymus_alatus,SRR16133411,SRR16122871,kishino,137,10,32,10,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Euonymus_alatus-1,Euonymus_alatus,SRR16133411,SRR16122871,kishino,119,10,32,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Euonymus_alatus-2,Euonymus_alatus,SRR16133411,SRR16122871,kishino,319,10,32,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Euonymus_alatus-4,Euonymus_alatus,SRR16133411,SRR16122871,kishino,419,10,32,1,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,cleanup
Gossypium_herbaceum-0,Gossypium_herbaceum,SRR17224483,SRR17211914,kishino,115,10,16,10,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Gossypium_herbaceum-1,Gossypium_herbaceum,SRR17224483,SRR17211914,kishino,121,10,32,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Gossypium_herbaceum-2,Gossypium_herbaceum,SRR17224483,SRR17211914,kishino,321,10,32,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Gossypium_herbaceum-4,Gossypium_herbaceum,SRR17224483,SRR17211914,kishino,421,10,32,1,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,cleanup
Juncus_effusus-0,Juncus_effusus,SRR14298760,SRR14298746,kishino,377,10,48,10,10,5,1.0,0.75,180000,0.1,onthq,30,NA,dummy,done
Juncus_effusus-1,Juncus_effusus,SRR14298760,SRR14298746,kishino,123,10,48,10,10,10,1.0,0.75,180000,0.1,onthq,30,NA,dummy,done
Juncus_effusus-2,Juncus_effusus,SRR14298760,SRR14298746,kishino,323,10,48,10,10,10,1.0,0.75,180000,0.1,onthq,30,NA,dummy,done
Juncus_effusus-3,Juncus_effusus,SRR14298760,SRR14298746,kishino,125,10,48,10,50,10,1.0,0.75,180000,0.1,onthq,30,NA,dummy,done
Juncus_effusus-4,Juncus_effusus,SRR14298760,SRR14298746,kishino,423,10,48,1,10,5,1.0,0.75,180000,0.1,onthq,30,NA,dummy,cleanup
Juncus_inflexus-0,Juncus_inflexus,SRR14298751,SRR14298745,lab01,123,10,48,10,10,5,1.0,0.75,180000,0.1,onthq,30,Juncus effusus,dummy,done
Juncus_inflexus-1,Juncus_inflexus,SRR14298751,SRR14298745,lab01,145,10,48,5,10,5,1.0,0.75,180000,0.1,onthq,30,Juncus effusus,dummy,done
Juncus_inflexus-2,Juncus_inflexus,SRR14298751,SRR14298745,lab01,345,10,48,5,10,5,1.0,0.75,180000,0.1,onthq,30,Juncus effusus,dummy,done
Juncus_inflexus-3,Juncus_inflexus,SRR14298751,SRR14298745,vincent,127,10,32,10,50,10,1.0,0.75,180000,0.1,onthq,30,Juncus effusus,dummy,done
Juncus_inflexus-4,Juncus_inflexus,SRR14298751,SRR14298745,lab01,445,10,48,1,10,5,1.0,0.75,180000,0.1,onthq,30,Juncus effusus,dummy,cleanup
Juncus_roemerianus-0,Juncus_roemerianus,SRR21976090,SRR21976092,lab01,367,10,32,10,10,5,1.0,0.75,200000,0.1,onthq,30,NA,dummy,done
Juncus_roemerianus-1,Juncus_roemerianus,SRR21976090,SRR21976092,vincent,181,10,32,20,10,10,1.0,0.75,200000,0.1,onthq,30,NA,dummy,done
Juncus_roemerianus-2,Juncus_roemerianus,SRR21976090,SRR21976092,vincent,381,10,32,20,10,10,1.0,0.75,200000,0.1,onthq,30,NA,dummy,done
Juncus_roemerianus-3,Juncus_roemerianus,SRR21976090,SRR21976092,lab01,265,10,32,10,50,10,1.0,0.75,200000,0.1,onthq,30,NA,dummy,done
Juncus_roemerianus-4,Juncus_roemerianus,SRR21976090,SRR21976092,vincent,481,10,32,1,10,5,1.0,0.75,200000,0.1,onthq,30,NA,dummy,cleanup
Juncus_validus-0,Juncus_validus,SRR21976089,SRR21976091,marybeth,113,10,16,10,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Juncus_validus-1,Juncus_validus,SRR21976089,SRR21976091,marybeth,137,10,16,10,10,10,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Juncus_validus-2,Juncus_validus,SRR21976089,SRR21976091,marybeth,337,10,16,10,10,10,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Juncus_validus-3,Juncus_validus,SRR21976089,SRR21976091,marybeth,113,10,16,10,50,10,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Juncus_validus-4,Juncus_validus,SRR21976089,SRR21976091,marybeth,437,10,16,1,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,cleanup
Leiosporoceros_dussii-0,Leiosporoceros_dussii,SRR25387688,SRR25387689,vincent,163,10,16,10,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Leiosporoceros_dussii-1,Leiosporoceros_dussii,SRR25387688,SRR25387689,vincent,145,10,16,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Leiosporoceros_dussii-2,Leiosporoceros_dussii,SRR25387688,SRR25387689,vincent,345,10,16,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Leiosporoceros_dussii-4,Leiosporoceros_dussii,SRR25387688,SRR25387689,vincent,445,10,16,1,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,cleanup
Macadamia_jansenii-0,Macadamia_jansenii,SRR11191910,SRR11191912,kishino,145,10,32,10,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Macadamia_jansenii-1,Macadamia_jansenii,SRR11191910,SRR11191912,kishino,147,10,16,5,10,10,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Macadamia_jansenii-2,Macadamia_jansenii,SRR11191910,SRR11191912,kishino,347,10,16,5,10,10,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Macadamia_jansenii-4,Macadamia_jansenii,SRR11191910,SRR11191912,kishino,447,10,16,1,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,cleanup
Musa_acuminata_subsp_malaccensis-0,Musa_acuminata_subsp_malaccensis,ERR5455028,ERR3606950,kishino,109,10,16,10,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Musa_acuminata_subsp_malaccensis-1,Musa_acuminata_subsp_malaccensis,ERR5455028,ERR3606950,kishino,149,10,16,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Musa_acuminata_subsp_malaccensis-2,Musa_acuminata_subsp_malaccensis,ERR5455028,ERR3606950,kishino,349,10,16,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Musa_acuminata_subsp_malaccensis-4,Musa_acuminata_subsp_malaccensis,ERR5455028,ERR3606950,kishino,449,10,16,1,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,cleanup
Notothylas_orbicularis-0,Notothylas_orbicularis,SRR25405055,SRR25405056,siepel,111,10,16,10,10,5,1.0,0.75,160000,0.1,onthq,30,Anthoceros agrestis,dummy,unknown
Notothylas_orbicularis-1,Notothylas_orbicularis,SRR25405055,SRR25405056,siepel,151,10,16,5,10,5,1.0,0.75,160000,0.1,onthq,30,Anthoceros agrestis,dummy,unknown
Notothylas_orbicularis-2,Notothylas_orbicularis,SRR25405055,SRR25405056,siepel,351,10,16,5,10,5,1.0,0.75,160000,0.1,onthq,30,Anthoceros agrestis,dummy,done
Notothylas_orbicularis-4,Notothylas_orbicularis,SRR25405055,SRR25405056,siepel,451,10,16,1,10,5,1.0,0.75,160000,0.1,onthq,30,Anthoceros agrestis,dummy,cleanup
Ophrys_lutea-0,Ophrys_lutea,ERR5167480,ERR5303530,siepel,147,10,16,10,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Ophrys_lutea-1,Ophrys_lutea,ERR5167480,ERR5303530,siepel,165,10,16,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Ophrys_lutea-2,Ophrys_lutea,ERR5167480,ERR5303530,siepel,365,10,16,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Ophrys_lutea-4,Ophrys_lutea,ERR5167480,ERR5303530,siepel,465,10,16,1,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,cleanup
Oryza_rufipogon-0,Oryza_rufipogon,SRR12104676,SRR12102351,siepel,107,10,16,10,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Oryza_rufipogon-1,Oryza_rufipogon,SRR12104676,SRR12102351,siepel,155,10,16,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Oryza_rufipogon-2,Oryza_rufipogon,SRR12104676,SRR12102351,siepel,355,10,16,5,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,done
Oryza_rufipogon-4,Oryza_rufipogon,SRR12104676,SRR12102351,siepel,455,10,16,1,10,5,1.0,0.75,160000,0.1,onthq,30,NA,dummy,cleanup
Phaeomegaceros_chiloensis-0,Phaeomegaceros_chiloensis,SRR25430413,SRR25430414,kishino,105,10,16,10,10,5,1.0,0.75,160000,0.1,onthq,30,Anthoceros punctatus,dummy,unknown
Phaeomegaceros_chiloensis-1,Phaeomegaceros_chiloensis,SRR25430413,SRR25430414,kishino,165,10,16,5,10,5,1.0,0.75,160000,0.1,onthq,30,Anthoceros punctatus,dummy,unknown
Phaeomegaceros_chiloensis-2,Phaeomegaceros_chiloensis,SRR25430413,SRR25430414,kishino,365,10,16,5,10,5,1.0,0.75,160000,0.1,onthq,30,Anthoceros punctatus,dummy,done
Phaeomegaceros_chiloensis-4,Phaeomegaceros_chiloensis,SRR25430413,SRR25430414,kishino,465,10,16,1,10,5,1.0,0.75,160000,0.1,onthq,30,Anthoceros punctatus,dummy,cleanup
