species,long,short,version,platform,type,folder,bioproject,species2,base,nseq,size,libray,type,model,taxon,coverage,down,dummy,genomesize,host,inref,min_read,plastid,range1,range2,range3,dimred,readsel,bench_ptgaul,bench_pmat,bench_tippo,bench_oatk,ptgaul_ref,mt_ref,random,random_seed,status
Musa_acuminata_subsp_malaccensis-0,ERR5455028,ERR3606950,2,ONT,NA,Musa_acuminata_subsp_malaccensis,NA,Musa_acuminata_subsp_malaccensis,NA,NA,NA,WGS,GENOMIC,NA,Musa acuminata subsp malaccensis,1,10,dummy,0,viola,family,3000,TRUE,1:1:30,0.1:1:39,3000:6000:31,pca,manual,160000,0.1,onthq,30,NA,Musa acuminata subsp malaccensis,969,969,done
Zea_mays-0,ERR3288289,NA,3,PACBIO_SMRT,NA,Zea_mays,PRJEB32225,Zea_mays,12122833804,14930,2915,WGS,GENOMIC,Sequel,Zea mays,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Zea mays,711,711,done
Setaria_viridis-0,SRR13196970,NA,3,PACBIO_SMRT,NA,Setaria_viridis,PRJNA675302,Setaria_viridis,108594112146,12574,26127,WGA,GENOMIC,Sequel II,Setaria viridis,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Setaria viridis,335,335,done
Carthamus_tinctorius-0,SRR12189957,NA,3,PACBIO_SMRT,NA,Carthamus_tinctorius,PRJNA642978,Carthamus_tinctorius,8426602708,10879,2027,WGS,GENOMIC,Sequel,Carthamus tinctorius,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Carthamus tinctorius,697,697,done
Zea_mays_001-0,SRR9077135,NA,3,PACBIO_SMRT,NA,Zea_mays,PRJNA543394,Zea_mays,142492037944,8831,34305,WGS,GENOMIC,Sequel,Zea mays,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Zea mays,557,557,done
Oryza_sativa_Japonica_Group-0,SRR14269770,NA,3,PACBIO_SMRT,NA,Oryza_sativa_Japonica_Group,PRJNA719383,Oryza_sativa_Japonica_Group,29632183744,10295,7131,WGS,GENOMIC,Sequel,Oryza sativa,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Oryza sativa,587,587,done
Lactuca_virosa-0,ERR11441212,NA,3,PACBIO_SMRT,NA,Lactuca_virosa,PRJEB56289,Lactuca_virosa,6152385665,11984,1480,WGS,GENOMIC,Sequel,Lactuca virosa,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Lactuca virosa,995,995,done
Tagetes_erecta-0,SRR15618957,NA,3,PACBIO_SMRT,NA,Tagetes_erecta,PRJNA757632,Tagetes_erecta,8736269247,10037,2102,WGS,GENOMIC,Sequel,Tagetes erecta,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Tagetes erecta,847,847,done
Apocynum_venetum-0,SRR7360363,NA,3,PACBIO_SMRT,NA,Apocynum_venetum,PRJNA476646,Apocynum_venetum,13465006967,9843,3242,WGA,GENOMIC,Sequel,Apocynum venetum,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Apocynum venetum,405,405,done
Citrus_hindsii-0,SRR22017991,NA,3,PACBIO_SMRT,NA,Citrus_hindsii,PRJNA860018,Citrus_hindsii,210964170002,20909,50707,WGS,GENOMIC,Sequel II,Citrus hindsii,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Citrus hindsii,281,281,done
