species,long,short,version,platform,type,folder,bioproject,species2,base,nseq,size,libray,type,model,taxon,coverage,down,dummy,genomesize,host,inref,min_read,plastid,range1,range2,range3,dimred,readsel,bench_ptgaul,bench_pmat,bench_tippo,bench_oatk,ptgaul_ref,mt_ref,random,random_seed,status
Test_species-0,l,s,2,ONT,NA,Anthoceros_agrestis,NA,Anthoceros_agrestis,NA,NA,NA,WGS,GENOMIC,NA,Anthoceros agrestis,1,10,dummy,0,lab01,family,3000,TRUE,1:1:13,0.1:1:22,3000:6000:14,pca,manual,160000,0.1,onthq,30,NA,Anthoceros agrestis,929,929,done
Test_species-1,l,s,2,ONT,NA,Anthoceros_agrestis,NA,Anthoceros_agrestis,NA,NA,NA,WGS,GENOMIC,NA,Anthoceros agrestis,1,10,dummy,0,lab01,family,3000,TRUE,1:1:13,0.1:1:22,3000:6000:14,pca,manual,160000,0.1,onthq,30,NA,Anthoceros agrestis,457,457,done
Taxon_genus-0,l,s,2,ONT,NA,Eucalyptus_pauciflora,NA,Eucalyptus_pauciflora,NA,NA,NA,WGS,GENOMIC,NA,Eucalyptus pauciflora,1,10,dummy,0,lab07,family,3000,TRUE,1:1:21,0.1:1:30,3000:6000:22,pca,manual,160000,0.1,onthq,30,NA,Eucalyptus pauciflora,127,127,done
Taxon_genus-1,l,s,2,ONT,NA,Eucalyptus_pauciflora,NA,Eucalyptus_pauciflora,NA,NA,NA,WGS,GENOMIC,NA,Eucalyptus pauciflora,1,10,dummy,0,lab07,family,3000,TRUE,1:1:21,0.1:1:30,3000:6000:22,pca,manual,160000,0.1,onthq,30,NA,Eucalyptus pauciflora,489,489,done
Carex_pseudochinensis-0,SRR30757341,SRR30757340,1,ONT,NA,Carex_pseudochinensis,NA,Carex_pseudochinensis,NA,NA,NA,WGS,GENOMIC,NA,Carex pseudochinensis,1,10,dummy,0,lab04,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Carex pseudochinensis,239,239,done
Carex_pseudochinensis-1,SRR30757341,SRR30757340,1,ONT,NA,Carex_pseudochinensis,NA,Carex_pseudochinensis,NA,NA,NA,WGS,GENOMIC,NA,Carex pseudochinensis,1,10,dummy,0,lab04,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Carex pseudochinensis,239,239,done
Carex_pseudochinensis-2,SRR30757341,SRR30757340,1,ONT,NA,Carex_pseudochinensis,NA,Carex_pseudochinensis,NA,NA,NA,WGS,GENOMIC,NA,Carex pseudochinensis,1,10,dummy,0,lab04,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Carex pseudochinensis,239,239,done
Lolium_perenne-0,SRR13386519,SRR13386518,1,ONT,NA,Lolium_perenne,NA,Lolium_perenne,NA,NA,NA,WGS,GENOMIC,NA,Lolium perenne,1,10,dummy,0,viola,family,3000,TRUE,1:1:2,0.1:1:11,3000:6000:3,pca,manual,160000,0.1,onthq,30,NA,Lolium perenne,347,347,done
Lolium_perenne-1,SRR13386519,SRR13386518,1,ONT,NA,Lolium_perenne,NA,Lolium_perenne,NA,NA,NA,WGS,GENOMIC,NA,Lolium perenne,1,10,dummy,0,viola,family,3000,TRUE,1:1:2,0.1:1:11,3000:6000:3,pca,manual,160000,0.1,onthq,30,NA,Lolium perenne,347,347,done
Lolium_perenne-2,SRR13386519,SRR13386518,1,ONT,NA,Lolium_perenne,NA,Lolium_perenne,NA,NA,NA,WGS,GENOMIC,NA,Lolium perenne,1,10,dummy,0,viola,family,3000,TRUE,1:1:2,0.1:1:11,3000:6000:3,pca,manual,160000,0.1,onthq,30,NA,Lolium perenne,347,347,done
