Au01 Aegilops_umbellulata
Al02 Arctium_lappa
Ac03 Aristolochia_californica
Ac04 Azolla_caroliniana
Bs05 Biancaea_sappan
Bn06 Brassica_napus
Ba07 Breynia_androgyna
Bt08 Bromus_tectorum
Cs09 Camelina_sativa
Cg10 Camellia_gigantocarpa
Cm11 Camellia_meiocarpa
Ck12 Campeiostachys_kamoji
Cg13 Canavalia_gladiata
Cp14 Carduus_pycnocephalus
Cq15 Chenopodium_quinoa
Cj16 Chionographis_japonica
Ce17 Cichorium_endivia
Ci18 Cichorium_intybus
Cs19 Citrus_sinensis
Cg20 Cochlearia_groenlandica
Cc21 Cynara_cardunculus
Ce22 Cyperus_esculentus
Dr23 Delonix_regia
Ds24 Dillenia_suffruticosa
El25 Erythranthe_laciniata
Ec26 Eschscholzia_californica
Ep27 Euphorbia_peplus
Fe28 Fagopyrum_esculentum
Ft29 Fagopyrum_tataricum
Fc30 Fragaria_chiloensis
Gc31 Glebionis_coronaria
Gs32 Glebionis_segetum
Gs33 Gleditsia_sinensis
Gu34 Glycyrrhiza_uralensis
Gr35 Gossypium_raimondii
Ha36 Haloxylon_ammodendron
Ht37 Helianthus_tuberosus
Hp38 Herpetospermum_pedunculosum
Ha39 Heteromeles_arbutifolia
Hb40 Hevea_brasiliensis
Hv41 Hordeum_vulgare
Ia42 Ipomoea_aquatica
Js43 Jasminum_sambac
Jc44 Juglans_californica
Lp45 Lablab_purpureus
Ls46 Lactuca_sativa
Ls47 Lathyrus_sativus
Ll48 Leucaena_leucocephala
Lp49 Linanthus_parryae
Ll50 Lithocarpus_litseifolius
Lm51 Lolium_multiflorum
Ll52 Lupinus_luteus
Md53 Malus_domestica
Mn54 Malus_niedzwetzkyana
Mf55 Marah_fabacea
Mb56 Mimosa_bimucronata
Mm57 Morus_mongolica
Nm58 Nemophila_menziesii
Nc59 Neostapfia_colusana
Nc60 Noccaea_caerulescens
Ob61 Ocimum_basilicum
Oc62 Oryza_coarctata
Ol63 Oryza_longistaminata
Pe64 Pachyrhizus_erosus
Pf65 Penstemon_fruticosus
Pc66 Phaseolus_coccineus
Pt67 Phyllospadix_torreyi
Ps68 Pisum_sativum
Pr69 Platanus_racemosa
Pp70 Populus_pruinosa
Pt71 Populus_trichocarpa
Pu72 Prinsepia_uniflora
Pc73 Prunus_campanulata
Qb74 Quercus_berberidifolia
Qe75 Quercus_engelmannii
Qg76 Quercus_gilva
Qg77 Quercus_glauca
Qt78 Quercus_tomentella
Qw79 Quercus_wislizeni
Sa80 Salix_arbutifolia
Sp81 Salix_purpurea
Sm82 Selenicereus_monacanthus
Ss83 Sequoia_sempervirens
Sc84 Sesbania_cannabina
Ss85 Smallanthus_sonchifolius
Sc86 Solanum_cheesmaniae
St87 Solanum_tuberosum
St88 Stephania_tetrandra
Td89 Thalia_dealbata
Ti90 Thinopyrum_intermedium
Tr91 Trifolium_repens
Ta92 Triticum_aestivum
Tt93 Triticum_timopheevii
Tg94 Tuctoria_greenei
Uc95 Umbellularia_californica
Ud96 Urochloa_decumbens
Vb97 Vaccinium_bracteatum
