Cs01 Camelina_sativa
Td02 Thalia_dealbata
Lp03 Lablab_purpureus
Ck04 Campeiostachys_kamoji
Cq05 Chenopodium_quinoa
St06 Stephania_tetrandra
Ss07 Smallanthus_sonchifolius
Pt08 Phyllospadix_torreyi
Hv09 Hordeum_vulgare
Cc10 Cynara_cardunculus
Js11 Jasminum_sambac
Pr12 Platanus_racemosa
Cg13 Camellia_gigantocarpa
Sa14 Salix_arbutifolia
Hb15 Hevea_brasiliensis
Pf16 Penstemon_fruticosus
Fe17 Fagopyrum_esculentum
Lp18 Linanthus_parryae
Gs19 Gleditsia_sinensis
Sm20 Selenicereus_monacanthus
Ha21 Haloxylon_ammodendron
Ob22 Ocimum_basilicum
Gr23 Gossypium_raimondii
Sc24 Solanum_cheesmaniae
Ti25 Thinopyrum_intermedium
Mm26 Morus_mongolica
Ta27 Triticum_aestivum
Gu28 Glycyrrhiza_uralensis
Nc29 Noccaea_caerulescens
Md30 Malus_domestica
Uc31 Umbellularia_californica
Cp32 Carduus_pycnocephalus
Qe33 Quercus_engelmannii
Lm34 Lolium_multiflorum
Tr35 Trifolium_repens
Oc36 Oryza_coarctata
Tg37 Tuctoria_greenei
Sc38 Sesbania_cannabina
Nc39 Neostapfia_colusana
Ll40 Lupinus_luteus
Mb41 Mimosa_bimucronata
Nm42 Nemophila_menziesii
Cm43 Camellia_meiocarpa
Qb44 Quercus_berberidifolia
Ia45 Ipomoea_aquatica
Ss46 Sequoia_sempervirens
Cg47 Canavalia_gladiata
Jc48 Juglans_californica
Fc49 Fragaria_chiloensis
Ds50 Dillenia_suffruticosa
Pu51 Prinsepia_uniflora
Cs52 Citrus_sinensis
El53 Erythranthe_laciniata
Ce54 Cichorium_endivia
Ps55 Pisum_sativum
Gc56 Glebionis_coronaria
Mf57 Marah_fabacea
Ep58 Euphorbia_peplus
Pc59 Phaseolus_coccineus
Ll60 Lithocarpus_litseifolius
Dr61 Delonix_regia
Cj62 Chionographis_japonica
Bs63 Biancaea_sappan
Pe64 Pachyrhizus_erosus
Pp65 Populus_pruinosa
Au66 Aegilops_umbellulata
Ec67 Eschscholzia_californica
