Au01 Aegilops_umbellulata
Al02 Arctium_lappa
Ac03 Aristolochia_californica
Ac04 Azolla_caroliniana
Bs05 Biancaea_sappan
Bn06 Brassica_napus
Ba07 Breynia_androgyna
Bt08 Bromus_tectorum
Cs09 Camelina_sativa
Cg10 Camellia_gigantocarpa
Ck11 Campeiostachys_kamoji
Cg12 Canavalia_gladiata
Cp13 Carduus_pycnocephalus
Cq14 Chenopodium_quinoa
Cj15 Chionographis_japonica
Ce16 Cichorium_endivia
Cs17 Citrus_sinensis
Cc18 Cynara_cardunculus
Dr19 Delonix_regia
Ds20 Dillenia_suffruticosa
El21 Erythranthe_laciniata
Ec22 Eschscholzia_californica
Ep23 Euphorbia_peplus
Fe24 Fagopyrum_esculentum
Fc25 Fragaria_chiloensis
Gc26 Glebionis_coronaria
Gs27 Gleditsia_sinensis
Gu28 Glycyrrhiza_uralensis
Gr29 Gossypium_raimondii
Ha30 Haloxylon_ammodendron
Ht31 Helianthus_tuberosus
Hp32 Herpetospermum_pedunculosum
Ha33 Heteromeles_arbutifolia
Hb34 Hevea_brasiliensis
Hv35 Hordeum_vulgare
Ia36 Ipomoea_aquatica
Js37 Jasminum_sambac
Jc38 Juglans_californica
Lp39 Lablab_purpureus
Ls40 Lactuca_sativa
Ls41 Lathyrus_sativus
Ll42 Leucaena_leucocephala
Lp43 Linanthus_parryae
Ll44 Lithocarpus_litseifolius
Lm45 Lolium_multiflorum
Ll46 Lupinus_luteus
Md47 Malus_domestica
Mf48 Marah_fabacea
Mb49 Mimosa_bimucronata
Mm50 Morus_mongolica
Nm51 Nemophila_menziesii
Nc52 Neostapfia_colusana
Nc53 Noccaea_caerulescens
Ob54 Ocimum_basilicum
Oc55 Oryza_coarctata
Pe56 Pachyrhizus_erosus
Pf57 Penstemon_fruticosus
Pc58 Phaseolus_coccineus
Pt59 Phyllospadix_torreyi
Ps60 Pisum_sativum
Pr61 Platanus_racemosa
Pp62 Populus_pruinosa
Pu63 Prinsepia_uniflora
Pc64 Prunus_campanulata
Qb65 Quercus_berberidifolia
Qe66 Quercus_engelmannii
Sa67 Salix_arbutifolia
Sm68 Selenicereus_monacanthus
Ss69 Sequoia_sempervirens
Sc70 Sesbania_cannabina
Ss71 Smallanthus_sonchifolius
Sc72 Solanum_cheesmaniae
St73 Stephania_tetrandra
Td74 Thalia_dealbata
Ti75 Thinopyrum_intermedium
Tr76 Trifolium_repens
Ta77 Triticum_aestivum
Tg78 Tuctoria_greenei
Uc79 Umbellularia_californica
Ud80 Urochloa_decumbens
Vb81 Vaccinium_bracteatum
