Aa01 Anthoceros_agrestis
Ag02 Anthoceros_angustus
At03 Arabidopsis_thaliana
Br04 Brassica_rapa
Cb05 Cinchona_pubescens
Ce06 Canavalia_ensiformis
Cl07 Codonopsis_lanceolata
Cp08 Carex_pseudochinensis
Cs09 Cucumis_sativus_var_hardwickii
Dj10 Dioscorea_japonica
Dt11 Dunaliella_tertiolecta
Ea12 Euonymus_alatus
Ep13 Eucalyptus_pauciflora
Gh14 Gossypium_herbaceum
Je15 Juncus_effusus
Ji16 Juncus_inflexus
Jr17 Juncus_roemerianus
Jv18 Juncus_validus
Ld19 Leiosporoceros_dussii
Lp20 Lolium_perenne
Ma21 Musa_acuminata_subsp_malaccensis
Mj22 Macadamia_jansenii
Mt23 Macadamia_tetraphylla
No24 Notothylas_orbicularis
Ol25 Ophrys_lutea
Or26 Oryza_rufipogon
Pc27 Phaeomegaceros_chiloensis
Pg28 Punica_granatum
Pm29 Prunus_mandshurica
Ps30 Populus_x_sibirica
Sd31 Salix_dunnii
Sl32 Solanum_lycopersicum
Sp33 Spirodela_polyrhiza
Tm34 Taraxacum_mongolicum
Tp35 Trifolium_pratense
Vf36 Vitis_vinifera
Vr37 Vigna_radiata
Vv38 Vaccinium_vitis_idaea
