Species	TaxID	Kingdom	Phylum	Class	Order	Family
Acer rubrum	45314	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Sapindaceae
Anthoceros agrestis	41834	Viridiplantae	Streptophyta	Anthocerotopsida	Anthocerotales	Anthocerotaceae
Anthoceros fusiformis	400545	Viridiplantae	Streptophyta	Anthocerotopsida	Anthocerotales	Anthocerotaceae
Arabidopsis thaliana	3702	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae
Brassica carinata	52824	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae
Brassica oleracea	3712	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae
Brassica rapa	3711	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae
Brassica rapa subsp. rapa	51350	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae
Canavalia ensiformis	3823	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae
Cinchona pubescens	50278	Viridiplantae	Streptophyta	Magnoliopsida	Gentianales	Rubiaceae
Coccomyxa elongata	1965095	Viridiplantae	Chlorophyta	Trebouxiophyceae	NA	NA
Codonopsis lanceolata	103999	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Campanulaceae
Crataegus pinnatifida f. major	714459	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae
Cucumis sativus var. hardwickii	319220	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae
Cucumis sativus var. sativus	869827	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae
Cucumis sativus var. xishuangbannanesis	2219226	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae
Cyamopsis tetragonoloba	3832	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae
Dalbergia cochinchinensis	106130	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae
Delphinium montanum	1127177	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae
Dioscorea cayenensis subsp. rotundata	55577	Viridiplantae	Streptophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae
