Contig Length V3 V4 V5 Copy V7 V8 MT PT Edge
contig_11 4045200 15 N N 1 both * 1 13 123,124,11
contig_13 7758767 15 N N 1 right * 7 16 205,128,205,128,205,128,205,128,205,128,205,128,205,128,205,128,205,128,205,128,205,13
contig_14 8944174 14 N N 1 both * 4 12 123,124,14
contig_15 81087 1 N N 1 none * 4 5 15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
contig_18 5820906 14 N N 1 both * 0 1 18
contig_21 4496863 14 N N 1 both * 1 3 21
contig_22 3474056 15 N N 1 left * 3 4 22
contig_23 8169826 15 N N 1 left * 0 5 123,23,183
contig_26 55585 1 N N 1 none * 5 18 26
contig_29 1132062 15 N N 1 left * 0 0 -142,-141,207,-140,-207,29,-183
contig_32 3713720 15 N N 1 left * 1 7 32,212,188,189,212,188,188,189,212,188,189,212
contig_33 3251007 15 N N 1 right * 3 5 117,-118,-117,33,74
contig_41 55081 1 N N 1 left * 2 7 41
contig_45 3088287 14 N N 1 right * 6 4 86,91,-195,194,-94,80,80,81,86,91,-195,194,-104,101,-195,194,-94,80,80,80,80,81,86,82,82,82,82,82,82,45
contig_56 1296357 13 N N 1 none * 0 1 56
contig_57 7703090 14 N N 1 both * 7 33 57
contig_59 4814087 15 N N 1 left * 0 14 59
contig_60 7739632 15 N N 1 both * 1 10 60,-124,-123
contig_61 8510880 15 N N 1 both * 2 3 123,124,61
contig_62 5600543 14 N N 1 both * 1 7 62
contig_65 3223298 15 N N 1 left * 4 6 65,-202,-97,-96,-95
contig_66 2974208 14 N N 1 left * 3 12 66
contig_69 2360744 13 N N 1 left * 4 2 69
contig_70 7702112 15 N N 1 both * 2 17 70
contig_71 4032302 14 N N 1 right * 0 4 -154,71
contig_72 3890277 14 N N 1 right * 0 3 154,160,72
contig_73 902969 13 N N 1 right * 0 4 73
contig_77 5325095 14 N N 1 both * 8 10 77
contig_78 4228989 15 N N 1 both * 1 4 78,-124,-123
contig_87 5115313 15 N N 1 both * 2 0 87,-124,-123
contig_88 25322 5 N N 1 none * 0 0 -92,88
contig_89 495823 14 N N 1 none * 3 4 -92,82,80,80,80,80,81,86,82,82,82,80,82,82,82,89
contig_90 248399 5 N N 1 none * 2 3 90
contig_93 3232941 16 N N 1 right * 0 7 -84,93
contig_99 111002 21 N N 1 none * 0 0 99,204,-127,-204
contig_105 293840 13 N N 1 none * 0 0 105,107
contig_106 52400 1 N N 1 none * 0 0 106
contig_108 577 5 N N 1 none * 0 0 108
contig_109 5431 5 N N 1 none * 0 0 109
contig_110 10363 0 N N 1 both * 0 0 110
contig_116 22982 6 N N 1 none * 0 0 116,118
contig_119 275511 17 N N 1 none * 0 1 119
contig_125 49454 11 N N 1 left * 0 0 123,124,125
contig_137 6346 0 N N 1 both * 0 0 137
contig_143 695387 13 N N 1 right * 0 0 143,142
contig_148 203666 8 N N 1 both * 0 1 148
contig_168 517445 14 N N 1 none * 0 3 168
contig_172 13959 0 N N 1 both * 0 0 172
contig_182 9553 1 N N 1 both * 0 0 182
contig_187 20901 26 Y N 1 none * 0 0 187
contig_200 331405 14 N N 1 none * 0 0 82,80,80,80,80,81,86,82,82,82,200
contig_201 40439 0 N N 1 none * 0 0 -84,201
contig_211 8239 0 N N 1 both * 0 0 211
contig_2 11932 2 N Y 1 none * 1 2 2
contig_5 47345 1 N Y 1 none * 0 4 5
contig_6 10873 1 N Y 1 none * 0 3 6
contig_7 1877 5 N Y 1 none * 0 0 7
contig_8 6787 1 N Y 1 none * 0 0 8
contig_9 21873 1 N Y 1 none * 0 0 9
contig_10 8978 1 N Y 1 none * 0 2 10
contig_12 2832 18 N Y 1 none * 0 0 12
contig_16 5635 1 N Y 1 none * 0 2 16
contig_17 7800 1 N Y 1 none * 0 1 17
contig_19 10130 2 N Y 1 none * 0 1 19
contig_24 7021 1 N Y 1 none * 1 3 24
contig_25 31571 1 N Y 1 none * 0 0 25
contig_27 8338 1 N Y 1 none * 0 0 27
contig_28 1601 15 Y Y 1 none 2 0 0 28
contig_30 754 16 Y Y 1 none 4 0 0 30
contig_31 1712 1 N Y 1 none * 0 0 31
contig_34 40972 1 N Y 1 none * 2 10 34
contig_35 24268 1 N Y 1 none * 5 6 35
contig_36 3077 1 N Y 1 none * 0 4 36
contig_37 1153 1 N Y 1 none * 0 0 37
contig_38 12324 2 N Y 1 none * 0 2 38
contig_39 12653 1 N Y 1 none * 3 2 39
contig_40 17783 1 N Y 1 none * 0 0 40
