Species	Order	Family	I	C	L_SRA	L_size	L_cov	S_SRA	S_size	S_cov	G	N	P	R	D	A0	Rate	Size	Alpha	ptDNA	Length1	Length2	Pident	N1	Mode	SD	N2	M	M_g	T_g	M_p	T_p	M_pmat1	T_pmat1	M_pmat2	T_pmat2	M_t1	M_t2	M_s	M_f	T
_Anthoceros agrestis_	Anthocerotales	Anthocerotaceae	2	10.0	SRR10190639	7.7 Gbp	39.4	SRR10250248	9.7 Gbp	49.5	196250750	10	5	5	0.75	1.0	.0450	88.6 Mbp	4.00	NC_049002.1	160964	160970	99.98944	6	159092	194		16	1.38	4.6m	8.13	6.0m	11.32	2.2h	10.62	59.6m	12.62	12.19	.32	8.72	33.4m
_Dunaliella tertiolecta_	Chlamydomonadales	Dunaliellaceae	2	10.0	SRR22857204	5.8 Gbp	30.9	SRR22857205	44.5 Gbp	233.9	190233228	10	5	5	0.75	1.0	.0499	95.3 Mbp	4.75	NC_016732.1	242626	242539	99.94931	6	239942	125		32	4.60	39.9m	8.14	12.9m	11.99	1.8h	NA	NA	20.16	56.03	.33	30.70	2.6h
_Eucalyptus pauciflora_	Myrtales	Myrtaceae	2	10.0	SRR7153095	6.0 Gbp	31.4	SRR7161123	6.3 Gbp	33.2	192135917	10	5	5	0.75	1.0	.0499	96.0 Mbp	0.25	NC_039597.1	159936	159929	99.99437	7	155986	506		16	2.84	9.2m	8.18	5.5m	9.95	6.5h	7.64	15.1m	10.38	8.75	.32	10.20	33.6m
_Leiosporoceros dussii_	Leiosporocerotales	Leiosporocerotaceae	2	10.0	SRR25387688	17.0 Gbp	46.3	SRR25387689	21.4 Gbp	58.3	368268547	10	5	5	0.75	1.0	.0447	164.2 Mbp	4.00	NC_039750.1	155992	155986	99.81810	7	154490	282		16	3.51	10.4m	8.15	9.2m	23.55	34.5h	17.86	48.4m	16.89	27.21	.32	9.19	52.2m
_Spirodela polyrhiza_	Alismatales	Araceae	2	10.0	SRR11472010	4.2 Gbp	39.0	SRR11472009	4.8 Gbp	45.2	108457590	10	5	5	0.75	1.0	.0409	44.5 Mbp	0.25	NC_015891.1	168949	168928	99.95265	4	167416	386		16	.51	.6m	8.20	5.1m	9.55	2.6h	11.74	9.3m	8.96	6.69	.32	8.69	25.8m
