Tool / Method,Primary Function,Key Features / Notes,Reference
BWA,Short-read alignment,Maps Illumina-like short reads to a reference genome with high efficiency,"[@Li2009]"
Minimap2,Long-read and spliced alignment,Fast, versatile aligner for genomic and transcriptomic long reads,"[@Li2018]"
SPAdes,De novo assembly,Optimized for assembling short-read datasets,"[@Bankevich2012]"
Flye,Long-read assembly,Constructs repeat graphs and resolves disjointigs for genome reconstruction,"[@Kolmogorov2019]"
FMLRC,Hybrid polishing,Uses short reads to polish long-read assemblies improving consensus accuracy,"[@Wang2018]"
GeSeq,Organelle annotation,Automated annotation of chloroplast and mitochondrial genomes,"[@Tillich2017]"
GetOrganelle,Organelle assembly,Reconstructs plastomes from short-read WGS data using graph-based algorithms,"[@Jin2020]"
ptGAUL,Chloroplast assembly (long reads),Employs graph assembly and manual curation for accurate plastome reconstruction,"[@Zhou2023]"
CLAW,Chloroplast assembly,Combines reference-guided and graph-traversal strategies for organelle assembly,"[@Phillips2024]"
PMAT,Mitochondrial assembly,Targets plant mitogenome reconstruction via graph-guided long-read assembly,"[@Bi2024]"
Oatk,Organelle assembly and annotation,Integrates profile-HMM gene identification with graph path-finding,"[@Zhou2024]"
TIPPo,Organelle assembly (long reads),Reference-free assembler tailored for high-accuracy long reads,"[@Xian2025]"
Subsampling,Statistical resampling,Provides a framework for robustness assessment and computational efficiency,"[@Efron1987]"
JellyFish,K-mer counting,Enables fast k-mer frequency computation for genome size estimation,"[@Marcais2011]"
BLAST,Sequence similarity search,Core tool for homology detection and gene validation,"[@Altschul1997]"
SeqKit,Sequence manipulation,Fast utilities for FASTA/FASTQ file filtering and transformation,"[@Shen2016]"
MAFFT,Multiple sequence alignment,Scalable nucleotide and protein alignment with various algorithmic modes,"[@Katoh2013]"
Bandage,Graph visualization,Visualizes assembly graphs to inspect contiguity and alternative paths,"[@Wick2015]"
Canu,Long-read assembly,Assembles and corrects noisy single-molecule reads,"[@Koren2017]"
NextDenovo,Long-read correction and assembly,Fast, accurate assembler outperforming Canu in several benchmarks,"[@Hu2024; @Wick2021]"

